,LotArea,OverallQual,OverallCond,TotalBsmtSF,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageArea,AboveMedianPrice
57,11645,7,5,860,2,1,3,7,0,565,1
58,13682,10,5,1410,3,1,3,10,1,641,1
59,7200,5,7,780,1,0,2,4,0,352,0
60,13072,6,5,1158,1,1,3,5,0,576,0
61,7200,5,7,530,1,0,3,6,0,288,0
62,6442,8,5,1370,2,0,2,6,1,484,1
63,10300,7,6,576,2,0,3,9,0,480,0
64,9375,7,5,1057,2,1,3,8,0,645,1
65,9591,8,5,1143,2,1,4,9,1,852,1
66,19900,7,5,1947,2,0,3,7,1,576,1
67,10665,7,5,1453,2,0,3,7,0,558,1
68,4608,4,6,747,1,0,2,4,0,220,0
69,15593,7,4,1304,2,0,3,7,1,667,1
70,13651,7,6,2223,2,0,3,8,2,516,1
71,7599,4,6,845,1,0,2,4,0,360,0
72,10141,7,5,832,2,1,3,7,1,427,1
73,10200,5,7,1086,1,0,3,6,0,490,0
74,5790,3,6,840,2,0,3,8,0,379,0
75,1596,4,5,462,1,0,2,5,0,297,0
76,8475,4,7,952,1,0,2,4,0,283,0
77,8635,5,5,672,1,0,2,6,0,240,0
78,10778,4,5,1768,2,0,4,8,0,0,0
79,10440,5,6,440,1,1,2,5,0,440,0
80,13000,6,6,896,2,1,4,8,1,509,1
81,4500,6,5,1237,2,0,2,5,0,405,0
82,10206,8,5,1563,2,0,3,6,1,758,1
83,8892,5,5,1065,1,1,3,6,0,461,0
84,8530,7,5,384,2,1,3,7,1,400,1
85,16059,8,5,1288,2,1,4,9,1,462,1
86,11911,6,5,684,2,1,3,6,1,400,1
87,3951,6,5,612,2,1,2,4,0,528,1
88,8470,3,2,1013,1,0,2,6,0,0,0
89,8070,4,5,990,1,0,3,5,0,0,0
90,7200,4,5,0,1,0,2,4,0,420,0
91,8500,5,3,1235,1,0,2,6,0,480,0
92,13360,5,7,876,1,0,2,5,0,432,1
93,7200,6,6,1214,2,0,4,9,1,506,0
94,9337,6,5,824,2,1,3,7,0,684,1
95,9765,6,8,680,2,1,3,6,1,420,1
96,10264,7,5,1588,2,0,3,6,0,472,1
97,10921,4,5,960,1,0,3,6,0,432,0
98,10625,5,5,458,1,0,2,5,0,366,0
99,9320,4,5,950,1,1,3,6,0,0,0
100,10603,6,7,1610,2,0,3,6,2,480,1
101,9206,6,5,741,2,1,3,7,1,476,1
102,7018,5,5,0,2,0,4,8,0,410,0
103,10402,7,5,1226,2,0,3,6,0,740,1
104,7758,7,4,1040,1,1,4,7,2,240,1
105,9375,8,5,1053,2,1,3,9,1,648,1
106,10800,4,7,641,1,0,2,6,0,273,0
107,6000,5,5,789,1,0,2,5,0,250,0
108,8500,5,7,793,2,0,3,7,0,0,0
109,11751,6,6,1844,2,0,3,7,1,546,1
110,9525,6,4,994,2,0,4,7,0,325,0
111,7750,7,5,384,2,1,3,7,1,400,1
112,9965,7,5,1264,2,1,4,10,1,792,1
113,21000,6,5,1809,2,0,3,7,2,450,1
114,7259,6,8,1028,2,1,3,9,1,180,1
115,3230,6,5,729,2,1,2,5,1,440,1
116,11616,5,5,1092,1,0,3,6,1,288,0
117,8536,5,5,1125,1,1,2,5,0,430,0
118,12376,7,5,1673,3,0,5,11,2,594,1
119,8461,6,5,728,2,1,3,8,1,390,1
120,21453,6,5,938,1,0,1,4,2,540,1
121,6060,4,5,732,1,0,3,4,0,264,0
122,9464,6,7,1080,1,0,3,5,0,288,0
123,7892,6,5,1199,2,0,2,5,0,530,0
124,17043,6,5,1362,2,0,3,7,1,435,1
125,6780,6,8,520,1,0,2,5,0,0,0
126,4928,6,5,1078,2,0,2,5,1,440,0
127,4388,5,7,672,1,0,3,5,1,0,0
128,7590,6,5,660,1,1,3,6,1,453,0
129,8973,5,7,1008,1,1,3,6,0,750,0
130,14200,7,6,924,2,1,4,8,2,487,1
131,12224,6,5,992,2,1,3,7,1,390,1
132,7388,5,6,1063,1,0,3,7,0,624,0
133,6853,8,5,1267,2,0,2,6,0,471,1
134,10335,5,6,1461,2,1,3,7,1,440,1
135,10400,7,6,1304,2,0,3,7,1,530,1
136,10355,5,5,1214,2,0,3,5,1,318,0
137,11070,7,5,1907,3,0,5,9,0,766,1
138,9066,8,5,1004,2,1,3,7,2,660,1
139,15426,6,5,928,2,1,3,7,0,470,1
140,10500,4,5,864,1,0,3,5,1,0,0
141,11645,7,5,1734,2,0,3,7,0,660,1
142,8520,5,4,910,2,0,4,6,0,720,1
143,10335,7,5,1490,2,0,3,6,0,577,1
144,9100,5,5,1728,2,0,6,10,0,504,0
145,2522,6,5,970,2,0,3,7,0,380,0
146,6120,5,7,715,1,0,2,5,0,180,0
147,9505,7,5,884,2,1,3,8,1,434,1
148,7500,7,5,1080,1,0,3,6,0,0,0
149,6240,5,4,896,1,0,3,7,0,240,0
150,10356,5,6,969,1,1,3,5,0,440,0
151,13891,8,5,1710,2,0,2,6,1,866,1
152,14803,6,5,825,2,1,4,8,1,495,1
153,13500,6,7,1602,1,0,1,4,1,564,1
154,11340,6,5,1200,1,0,4,7,0,312,0
155,9600,6,5,572,1,0,2,5,0,0,0
156,7200,5,7,0,1,0,2,5,0,625,0
157,12003,8,5,774,2,1,4,8,1,680,1
158,12552,7,5,991,2,1,3,8,1,678,1
159,19378,7,5,1392,2,1,4,9,1,576,1
160,11120,6,6,1232,2,0,3,6,0,516,0
161,13688,9,5,1572,2,1,3,10,2,726,1
162,12182,7,5,1541,2,0,3,7,1,532,1
163,5500,4,6,882,1,0,1,4,0,0,0
164,5400,6,7,1149,2,0,3,5,0,216,0
165,10106,5,7,644,2,0,4,6,0,0,0
166,10708,5,5,1617,1,0,2,7,3,303,1
167,10562,8,5,1582,1,1,3,8,1,789,1
168,8244,7,5,840,2,1,3,7,1,440,1
169,16669,8,6,1686,2,1,2,6,1,511,1
170,12358,5,6,720,1,1,2,7,0,660,0
171,31770,6,5,1080,1,0,3,7,2,528,1
172,5306,7,7,1064,2,0,2,5,1,504,1
173,10197,6,5,1362,1,1,3,6,1,504,0
174,12416,6,5,1606,2,0,3,7,1,616,1
175,12615,6,7,1202,2,0,4,7,1,576,1
176,10029,6,5,1151,2,1,4,8,1,521,1
177,13650,5,5,1052,2,0,4,8,1,451,1
178,17423,9,5,2216,2,0,1,9,1,1166,1
179,8520,5,6,968,1,0,2,5,0,480,0
180,2117,6,5,756,2,1,3,5,1,440,1
181,7588,7,6,793,1,1,4,9,1,216,1
182,9060,5,6,0,1,0,3,7,1,252,0
183,11426,7,5,1362,2,1,3,6,0,484,1
184,7438,5,8,504,1,0,3,5,0,576,0
185,22950,10,9,1107,2,1,4,12,2,840,1
186,9947,7,5,1188,2,0,3,6,0,497,1
187,10410,5,7,660,2,1,3,8,0,180,0
188,7018,5,5,1086,0,2,2,6,2,528,0
189,4923,8,5,1593,1,1,0,5,1,682,1
190,10570,8,8,853,2,1,3,10,2,440,1
191,7472,7,9,725,1,1,4,7,0,484,1
192,9017,7,5,1431,2,0,3,6,0,666,1
193,2522,7,5,970,2,0,3,7,0,380,0
194,7180,5,7,864,1,0,3,5,0,352,0
195,2280,6,6,855,2,1,3,7,1,440,0
196,9416,7,5,1726,2,0,3,8,1,786,1
197,25419,8,4,1360,2,0,4,8,1,795,1
198,5520,6,6,755,1,0,5,8,0,0,0
199,9591,8,5,1713,2,0,3,7,1,856,1
200,8546,4,5,1121,2,0,2,5,0,440,0
201,10125,6,6,1196,2,0,3,6,2,473,1
202,7000,6,6,617,2,0,2,6,0,398,0
203,4438,6,5,848,1,0,1,3,1,420,0
204,3500,5,7,720,1,1,2,5,0,240,0
205,11851,7,5,1424,2,0,3,5,0,500,1
206,13673,5,5,1140,1,1,3,8,1,349,0
207,12493,4,5,1100,1,0,3,6,1,312,0
208,14364,7,5,1157,2,1,3,7,1,454,1
209,8250,6,7,1092,1,0,3,6,0,504,0
210,5604,5,6,864,1,0,2,5,0,0,0
211,10420,6,5,1212,2,0,3,6,0,460,1
212,8640,7,5,900,2,1,3,7,1,644,1
213,13568,5,5,990,1,0,3,5,0,576,0
214,10900,6,7,689,1,1,3,6,0,299,0
215,10011,5,6,1070,1,0,2,6,1,447,0
216,8450,7,5,1436,2,0,3,8,0,484,1
217,9906,4,4,686,1,0,3,8,0,210,0
218,15660,7,9,798,1,1,3,8,2,431,1
219,3010,7,5,1248,2,0,2,5,0,438,1
220,8990,7,5,1498,2,0,2,5,0,675,1
221,8068,6,5,1010,2,1,4,8,1,390,1
222,11475,6,6,713,2,1,3,6,1,434,1
223,10500,4,6,864,1,0,2,4,0,576,0
224,13472,10,5,2392,2,0,3,8,1,968,1
225,1680,5,5,630,2,1,3,6,0,280,0
226,9950,7,5,1203,2,1,4,9,1,721,1
227,1869,6,6,483,1,1,2,5,0,280,0
228,8521,5,5,912,1,0,3,5,1,336,0
229,3182,7,5,1373,2,0,2,7,1,430,1
230,8760,6,6,1194,1,0,3,6,0,312,0
231,15138,8,5,1462,2,1,4,9,1,810,1
232,1680,6,5,483,1,1,2,5,1,288,0
233,10650,5,6,894,1,0,3,5,0,308,0
234,7851,6,5,860,2,1,4,8,2,440,1
235,1680,6,3,483,1,1,2,5,0,264,0
236,8773,7,5,1414,2,0,3,6,0,494,1
237,9453,7,7,996,2,1,3,7,0,457,1
238,12030,8,5,1694,2,0,3,7,0,818,1
239,8741,6,4,735,1,1,3,7,1,220,0
240,9000,8,5,1566,2,0,3,7,0,750,1
241,3880,5,9,686,1,0,2,4,0,0,0
242,5000,5,4,540,1,0,3,6,0,352,0
243,10762,6,6,626,1,1,3,6,1,288,0
244,8880,7,5,948,2,1,3,8,2,463,1
245,10400,7,5,1845,2,0,3,6,1,604,1
246,9142,6,8,1020,2,0,4,9,0,440,0
247,11310,6,5,1367,1,0,2,5,1,451,0
248,11317,7,5,840,2,1,3,8,0,500,1
249,159000,6,7,1444,2,0,4,7,2,389,1
250,5350,3,2,728,1,0,3,6,0,0,0
251,4750,8,5,1573,2,0,2,5,1,538,1
252,8366,6,5,798,2,1,3,6,0,520,1
253,9350,6,7,1302,2,0,3,7,0,309,0
254,8400,5,6,1314,1,0,3,5,0,294,0
255,8738,7,5,975,2,1,4,8,1,429,1
256,8791,6,5,864,2,1,3,7,0,673,1
257,8814,7,5,1604,2,1,3,8,1,660,1
258,12435,7,5,963,2,1,3,7,1,564,1
259,12702,5,5,0,1,0,2,4,0,308,0
260,19296,6,5,1362,1,0,3,6,1,884,1
261,9588,8,5,1482,2,1,3,10,1,868,1
262,8471,6,7,506,1,0,3,6,1,492,0
263,5500,5,7,926,1,0,3,6,0,484,0
264,5232,5,5,680,1,0,2,4,0,504,0
265,12090,6,6,1422,2,0,3,7,1,576,1
266,11207,6,5,802,2,1,3,8,1,413,1
267,8400,5,8,720,2,1,4,8,1,240,1
268,6900,5,6,740,1,0,2,4,1,924,0
269,7917,6,7,1143,1,1,3,6,1,504,0
270,10728,8,5,1095,2,1,3,8,1,1053,1
271,39104,7,7,1385,1,0,2,5,2,439,1
272,11764,8,7,1152,2,1,4,9,1,671,1
273,9600,6,6,1240,2,0,3,6,1,338,0
274,8314,5,7,816,1,0,2,5,0,264,0
275,7264,7,7,952,2,1,3,5,0,672,1
276,9196,7,5,1560,2,0,3,7,0,573,1
277,19138,4,5,864,1,0,2,4,0,400,0
278,14450,9,5,2121,2,1,3,8,1,732,1
279,10005,7,5,1160,2,1,4,8,1,505,1
280,11287,7,6,807,2,1,3,7,1,575,1
281,7200,6,5,1262,2,0,2,5,0,572,1
282,5063,7,5,1314,2,0,2,6,1,626,1
283,9612,8,5,1468,2,0,3,6,1,898,1
284,8012,6,5,1575,2,0,2,5,0,529,1
285,4251,7,5,625,2,1,2,5,0,528,1
286,9786,6,7,912,1,1,3,7,1,440,0
287,8125,4,4,858,1,0,3,5,0,0,0
288,9819,5,5,882,1,0,3,5,0,280,0
289,8730,6,7,698,1,0,3,7,0,384,0
290,15611,8,5,1079,2,1,3,8,1,685,1
291,5687,5,6,780,2,0,6,9,0,0,0
292,11409,5,4,768,1,1,3,8,1,281,0
293,16659,7,7,795,2,1,3,9,1,539,1
294,9600,6,5,1416,1,0,3,7,2,418,1
295,7937,6,6,1003,1,0,3,6,0,588,0
296,13710,5,5,910,1,1,4,6,0,282,0
297,7399,7,5,975,2,1,3,7,1,576,1
298,11700,6,6,702,1,2,3,7,1,539,1
299,14000,6,8,1092,1,0,3,6,1,300,0
300,15750,5,5,1165,1,0,2,5,2,375,0
301,16226,8,5,1028,2,1,4,9,1,683,1
302,13704,7,5,1541,2,0,3,6,1,843,1
303,9800,5,7,894,1,0,3,5,0,552,0
304,18386,7,9,1470,3,0,3,10,1,870,1
305,10386,8,5,2000,2,0,3,8,0,888,1
306,13474,7,5,700,2,1,4,8,1,746,1
307,7920,6,7,319,1,0,3,6,0,0,0
308,12342,4,5,861,1,0,1,4,0,539,0
309,12378,9,5,1896,2,0,3,8,3,708,1
310,7685,6,5,697,2,1,3,6,1,420,1
311,8000,6,6,972,1,0,2,5,1,240,0
312,7800,5,7,793,1,0,3,5,1,410,0
313,215245,7,5,2136,2,0,3,8,2,513,1
314,9600,7,7,728,1,1,3,6,1,546,1
315,7795,7,5,716,2,1,3,6,1,432,1
316,13005,7,7,845,2,1,4,10,1,484,1
317,9000,8,5,1088,2,1,3,8,1,1025,1
318,9900,7,5,1347,2,1,4,9,1,656,1
319,14115,7,5,1372,2,0,3,6,2,588,1
320,16259,9,5,1249,3,1,4,9,0,840,1
321,12099,8,5,1136,2,1,4,10,1,872,1
322,10380,7,5,1502,2,1,4,8,1,576,1
323,5820,3,8,1162,1,0,3,6,0,220,0
324,11275,7,7,710,2,1,5,11,1,564,1
325,5000,5,6,720,1,0,2,5,0,360,0
326,10846,8,5,1719,1,1,1,6,2,473,1
327,11600,6,5,1383,1,1,3,7,0,292,0
328,11888,6,6,844,2,0,5,10,0,441,1
329,6402,5,5,596,1,0,3,6,0,189,0
330,10624,5,4,1728,2,0,6,10,0,352,0
331,8176,5,6,1056,1,0,3,6,0,308,0
332,10655,8,5,3206,2,0,3,7,1,880,1
333,8198,7,5,1358,2,0,2,6,1,484,1
334,9042,6,5,943,2,1,3,7,2,472,1
335,164660,5,6,1499,2,0,3,7,2,529,1
336,14157,9,5,1922,2,0,3,8,1,676,1
337,9135,7,5,1536,2,0,3,7,0,532,1
338,14145,7,7,1208,2,0,3,8,0,440,1
339,12400,6,7,1215,1,0,3,6,0,297,0
340,14191,8,5,967,2,1,4,9,0,431,1
341,8400,4,4,721,1,0,2,4,0,294,0
342,8544,3,4,0,2,0,2,6,0,400,0
343,8849,9,5,1684,2,0,2,6,1,564,1
344,2592,5,3,536,1,1,3,4,0,336,0
345,6435,6,5,972,1,0,3,6,1,312,0
346,12772,6,8,958,1,0,2,5,0,301,0
347,17600,6,5,1478,2,0,3,6,2,498,0
348,2448,7,5,764,2,1,2,6,0,474,0
349,20431,9,5,1848,2,1,4,10,2,706,1
350,7820,9,5,1869,2,0,2,6,1,617,1
351,5271,7,5,1453,1,1,2,6,1,445,1
352,9084,5,6,616,1,0,3,5,0,200,0
353,8520,6,8,624,1,0,2,5,0,484,0
354,8400,6,5,940,1,0,2,6,2,240,0
355,11249,6,5,1200,2,0,3,6,0,521,1
356,9248,6,6,1158,2,0,3,6,0,400,1
357,4224,5,5,1142,1,1,3,6,1,528,0
358,6930,5,4,1062,1,0,3,6,0,288,0
359,12011,8,5,1086,2,1,3,7,1,592,1
360,7540,6,6,888,1,0,2,5,1,470,0
361,9144,5,5,883,1,0,3,8,0,240,0
362,7301,7,5,0,3,0,4,7,1,672,1
363,1680,6,8,483,1,1,2,5,0,264,0
364,18800,6,5,796,2,1,3,6,1,566,1
365,10690,5,7,672,1,0,3,6,0,468,0
366,9500,6,5,1394,1,1,3,6,2,514,0
367,9150,6,5,1099,1,0,3,6,1,296,1
368,7800,5,6,1268,1,0,2,7,1,244,0
369,9830,5,7,1063,1,0,3,7,1,576,0
370,8121,6,5,953,2,1,3,7,1,460,1
371,17120,4,4,0,2,0,4,7,1,680,0
372,7175,6,5,744,1,0,2,4,0,264,0
373,10634,5,6,608,1,0,3,5,0,270,0
374,8200,7,5,847,2,1,4,8,1,434,1
375,10020,1,1,683,0,1,1,4,0,0,0
376,8846,5,5,870,1,0,2,5,0,576,0
377,11143,8,5,1580,3,0,4,8,1,610,1
378,11394,9,2,1856,1,1,1,8,1,834,1
379,8123,6,5,982,2,1,3,7,1,463,1
380,5000,5,6,1026,2,0,3,6,1,308,0
381,7200,7,5,1293,2,0,2,5,1,572,1
382,9245,7,5,939,2,1,3,8,0,639,1
383,9000,6,3,784,1,0,2,5,0,360,0
384,53107,6,5,1580,2,1,3,9,2,501,1
385,3182,8,5,1256,2,0,2,6,1,430,1
386,8410,5,3,658,1,0,5,8,0,0,0
387,7200,6,6,1041,1,0,3,6,1,352,0
388,9382,7,5,1468,2,0,3,6,0,577,1
389,12474,10,5,1682,2,1,3,9,1,846,1
390,8405,5,8,861,1,0,4,7,0,384,0
391,12209,6,5,804,2,1,3,7,1,560,1
392,8339,5,7,0,1,0,3,5,0,294,0
393,7446,4,5,788,1,0,2,4,2,0,0
394,10134,5,6,735,1,0,2,5,0,240,0
395,9571,5,6,1144,1,0,3,6,0,596,0
396,7200,5,5,894,1,0,2,6,0,600,0
397,7590,5,5,864,2,0,4,8,1,264,1
398,8967,5,2,961,1,0,2,6,0,338,0
399,8125,7,5,1092,2,0,2,7,0,438,1
400,14963,8,5,1260,1,1,1,4,2,500,1
401,8767,7,5,1310,2,0,3,6,1,400,1
402,10200,5,8,672,1,0,2,4,0,240,0
403,12090,8,5,1141,2,1,4,10,1,420,1
404,10364,6,5,806,2,1,3,7,1,373,1
405,9991,4,4,1281,2,0,3,8,1,490,0
406,10480,6,5,1064,1,0,3,6,0,240,0
407,15576,6,7,840,2,0,4,8,0,308,1
408,14154,7,5,1063,2,1,3,9,1,947,1
409,10800,8,5,1034,2,1,3,8,1,836,1
410,9571,5,3,1276,1,0,3,5,0,350,0
411,34650,5,5,1056,1,0,3,5,0,572,0
412,4403,7,5,1470,2,1,2,7,1,484,1
413,8960,5,6,1008,1,0,2,5,1,360,0
414,11228,7,5,1080,2,1,3,9,1,678,1
415,8899,7,5,1340,2,0,3,6,0,396,1
416,7844,6,7,672,1,1,3,6,1,440,0
417,22420,6,6,1370,2,1,4,10,1,864,1
418,8160,5,6,756,1,1,3,7,0,240,0
419,8450,5,6,1056,1,0,3,6,1,304,0
420,7060,7,5,1344,2,0,2,8,0,784,1
421,16635,6,7,1602,2,0,3,8,1,529,1
422,21750,5,5,988,1,0,2,4,0,520,0
423,9200,8,5,1470,2,1,4,8,1,696,1
424,9000,6,5,1196,1,0,2,6,1,297,0
425,3378,7,8,651,1,1,3,6,2,240,0
426,12800,7,5,1518,2,0,2,5,1,569,1
427,8593,4,6,907,1,0,3,5,0,352,0
428,6762,7,5,1208,2,0,2,6,0,628,1
429,11457,6,5,1392,2,0,3,6,1,576,1
430,1680,6,5,483,1,1,2,4,0,264,0
431,5586,6,7,901,1,0,4,7,0,0,0
432,1920,5,5,765,1,1,2,6,0,440,0
433,10839,6,5,926,2,1,3,7,1,470,1
434,1890,4,7,630,1,0,1,3,0,0,0
435,10667,7,6,799,2,1,3,6,1,550,1
436,4400,6,8,648,1,0,2,6,0,440,0
437,6000,6,7,884,1,0,2,4,0,180,0
438,4280,5,6,440,1,0,2,4,1,352,0
439,12354,6,8,684,1,0,3,7,0,528,0
440,15431,10,5,3094,2,0,2,10,2,672,1
441,12108,4,4,1440,2,0,4,8,0,0,0
442,6240,5,7,1078,2,0,3,8,1,360,0
443,3922,7,5,1258,2,0,2,6,1,648,1
444,8750,7,5,915,2,1,4,8,1,493,1
445,9855,6,5,1436,1,0,3,7,1,480,0
446,16492,6,6,1517,2,1,2,6,1,578,1
447,11214,7,5,930,2,1,4,10,1,431,1
448,8600,6,6,780,2,0,3,7,1,198,0
449,6000,3,7,649,1,1,2,6,0,308,0
450,5684,6,8,813,1,0,2,5,0,270,0
451,70761,7,5,1533,2,0,2,5,2,576,1
452,9303,6,5,872,2,1,3,7,0,422,1
453,9000,8,5,768,2,1,3,6,0,676,1
454,9297,5,5,1728,2,0,4,8,0,560,1
455,9600,7,6,1242,1,1,3,6,1,528,1
456,4571,5,5,624,1,0,4,7,0,513,0
457,53227,4,6,1364,1,0,2,6,2,529,1
458,5100,8,7,588,1,0,3,7,1,228,0
459,7015,5,4,709,1,0,3,5,1,352,0
460,8004,8,5,832,2,1,3,8,0,552,1
461,7200,7,9,560,1,0,3,6,0,576,0
462,8281,5,5,864,1,0,3,5,1,360,0
463,11988,6,7,715,1,1,3,6,1,240,1
464,8430,5,5,1040,2,0,3,5,0,0,0
465,3072,7,5,1375,2,0,2,6,1,398,1
466,10628,7,5,1277,1,0,2,5,1,526,1
467,9480,5,7,728,1,1,3,7,2,312,0
468,11428,8,5,1626,2,0,3,7,1,866,1
469,9291,6,5,832,2,1,3,7,0,506,1
470,6820,8,5,1488,1,1,1,4,0,528,1
471,11952,7,6,808,2,1,3,8,1,534,1
472,3675,6,5,547,1,0,2,5,0,525,0
473,14977,8,5,1976,2,0,2,7,1,908,1
474,5330,8,5,1494,2,0,2,6,0,499,1
475,8480,5,6,970,1,0,2,5,0,624,0
476,13125,6,5,1478,2,0,3,7,1,508,1
477,13693,9,5,2153,2,1,3,9,1,694,1
478,10637,8,5,1705,2,0,3,7,1,826,1
479,5925,4,7,907,1,0,2,7,0,672,0
480,16033,9,5,1833,2,0,3,8,1,772,1
481,11846,9,5,1792,2,0,2,6,1,874,1
482,2500,7,8,910,1,1,4,7,1,164,0
483,4500,6,5,1216,2,0,2,5,0,402,1
484,7758,5,7,999,1,0,3,6,0,264,0
485,9600,5,7,1113,1,0,3,5,1,264,0
486,10289,5,7,1073,1,1,3,6,0,515,0
487,12243,5,6,1484,2,0,3,7,1,487,1
488,10800,5,4,954,2,0,3,10,1,520,0
489,1526,4,8,630,1,0,1,3,0,286,0
490,2665,5,6,264,1,1,3,4,1,336,0
491,9490,6,7,806,1,0,3,5,2,240,0
492,15578,6,5,728,2,1,3,8,0,429,1
493,7931,5,6,1269,1,1,3,6,1,308,0
494,5784,5,8,190,1,0,2,4,0,273,0
495,7879,4,5,720,1,0,2,4,0,0,0
496,12692,8,5,3200,3,0,4,10,1,546,1
497,9120,7,6,1026,2,0,4,8,0,240,1
498,7800,5,7,864,1,0,3,5,0,288,0
499,7535,5,7,912,1,0,2,5,0,297,0
500,1890,6,5,672,1,1,3,7,0,264,0
501,9803,7,5,866,2,1,3,7,0,603,1
502,9170,5,7,1214,1,0,2,6,0,461,0
503,15602,7,8,1501,2,0,1,6,2,484,1
504,2308,6,5,855,2,1,3,6,1,440,0
505,7596,5,5,960,2,0,4,10,0,400,0
506,9554,8,5,777,2,1,3,8,1,471,1
507,7862,6,5,1218,2,0,2,4,0,676,1
508,9600,7,9,689,2,0,3,7,1,360,0
509,9600,5,6,1041,1,0,3,6,0,270,0
510,14559,5,7,1008,1,0,2,6,2,288,1
511,6792,7,5,1368,2,0,2,6,1,474,1
512,9100,5,5,864,1,0,3,5,0,624,0
513,9187,6,5,1084,1,1,3,5,0,484,0
514,10594,5,5,768,1,0,2,5,0,200,0
515,12220,10,5,2006,2,1,3,9,1,900,1
516,10448,6,6,689,2,1,3,7,1,583,0
517,10208,7,5,1264,2,1,3,7,1,889,1
518,9531,6,5,794,2,1,3,7,0,546,1
519,10918,7,9,1276,1,1,3,9,2,282,1
520,10800,4,7,0,2,0,3,7,0,0,0
521,11988,6,6,1244,1,1,3,6,2,336,0
522,5000,6,7,1004,2,0,3,7,2,420,0
523,40094,10,5,3138,3,1,3,11,1,884,1
524,11787,7,5,1379,2,1,3,8,1,834,1
525,7500,7,5,1257,2,0,3,6,1,453,1
526,13300,5,7,928,1,0,2,4,0,252,0
527,14948,9,5,1452,2,1,3,11,1,858,1
528,9098,4,7,528,1,0,2,5,0,0,0
529,32668,6,3,2035,3,0,4,9,2,484,1
530,10200,6,5,1461,2,0,3,5,1,600,1
531,6155,6,8,611,2,0,3,6,0,502,0
532,7200,5,7,0,1,0,2,5,1,392,0
533,5000,1,3,0,1,0,1,2,0,0,0
534,9056,8,5,707,2,1,3,6,1,403,1
535,7000,5,7,1117,1,0,3,5,0,0,0
536,8924,7,5,880,2,1,3,8,0,527,1
537,12735,4,5,864,1,0,3,5,0,576,0
538,11553,5,5,1051,1,1,3,7,1,336,0
539,11423,8,5,1581,2,0,3,6,1,670,1
540,14601,9,5,1838,2,0,2,8,1,765,1
541,11000,8,5,969,2,1,4,8,1,648,1
